food_name,matchers
Pizza Dosa,pizzadosa|cheesy|fusion|dosa|trending
Idiyappam,idiyappam|stringhoppers|south|light|rice
Appam,appam|soft|fermented|kerala|breakfast
Mysore Masala Dosa,mysoredosa|spicy|buttery|south|classic
Roti,roti|bread|daily|simple|homely
Paratha,paratha|layered|buttery|north|breakfast
Veg Handi,veghandi|handi|creamy|north|curry
Paneer Handi,paneerhandi|creamy|rich|north|special
Veg Jalfrezi,jalfrezi|stirfry|spicy|north|tawa
Kadai Veg,kadaiveg|kadai|spicy|stirfry|north
Makhani Veg,makhani|creamy|tomato|rich|north
Paneer Lababdar,lababdar|paneer|rich|creamy|restaurant
Chole Kulche,cholekulche|street|punjabi|breakfast|snack
Masala Khichdi,masalakichdi|spiced|comfort|onepot|quick
Idli Fry,idlify|fried|crispy|street|fusion
Ghee Roast,gheeroast|ghee|crispy|south|rich
Rasam Rice,rasamrice|tangy|south|light|comfort
Puri Sabzi,purisabzi|puri|vegetable|north|breakfast
Methi Thepla,methithepla|methi|flatbread|gujarati|travel
Bengali Thali,bengalithali|variety|fishless|platter|regional
Dhokla Sandwich,dhoklasandwich|fusion|soft|snack|gujarati
Sprouts Salad,sproutssalad|healthy|light|tiffin|protein
Mixed Veg Kurma,vegkurma|coconut|mild|south|curry
Soya Chaap,soya|chaap|grilled|starter|protein
Paneer Bhurji,paneerbhurji|scramble|breakfast|quick|spicy
Keema Pav (Mock),mockkeema|soya|pav|street|hearty
Methi Malai Mutter,methimalai|methi|creamy|north|seasonal
Veg Seekh Kebab,seekhkebab|grilled|starter|smoky|veg
Tamarind Rice,tamarindrice|south|tangy|rice|travel
Coconut Rice,coconutrice|south|coconut|aromatic|rice
Veg Schezwan Noodles,schezwannoodles|spicy|noodles|indo|street
Paneer Chili,paneerchili|spicy|indo|starter|sizzler
Bombay Potatoes,bombaypotato|spicy|aloo|street|side
Patra,patra|farsan|steamed|gujarati|tiffin
Aamras, aamras|mango|sweet|summer|dessert
Stuffed Capsicum,stuffedcapsicum|baked|veg|main|healthy
Mushroom 65,mushroom65|spicy|starter|crispy|indian
Corn Kachori,cornkachori|fried|snack|stuffed|street
Plain Dosa,plaindosa|classic|south|breakfast|crispy
Pudhina Chutney,pudhinachutney|mint|condiment|tangy|side
Spring Hakka Roll,springhakka|indo|crispy|starter|roll
Veg Manchow Soup,manchowsoup|noodle|spicy|starter|comfort
Tomato Saar,tomatosaar|light|tangy|south|soup
Moong Dal Halwa,moongdalhalwa|sweet|rich|dessert|festive
Bajra Roti,bajraroti|millet|flatbread|healthy|rustic
Makki Ki Roti,makkiroti|corn|flatbread|rustic|punjabi
Sarso Ka Saag,sarsosaag|mustard|leafy|winter|north
Corn Pakora,cornpakora|crispy|snack|fried|monsoon
Mirchi Bajji,mirchibajji|chili|fried|spicy|snack
Aam Panna,aampanna|refreshing|cool|summer|drink
Jaljeera,jaljeera|tangy|drink|street|appetizer
Nutritional Ladoo,nutritional|ladoo|healthy|sweet|energy
Bread Upma,breadupma|fusion|quick|breakfast|tiffin
Masala Maggi,masalamaggi|instant|street|snack|student
Cheesy Corn Sandwich,cheesycorn|sandwich|gooey|snack|street
Veg Calzone,vegcalzone|fusion|baked|snack|cheesy
Millet Idli,milletidli|healthy|south|steamed|breakfast
Ragi Dosa,ragidosa|millet|healthy|south|breakfast
Kuttu Paratha,kuttuparatha|buckwheat|fasting|breakfast|rustic
Makhana Kheer,makhanakheer|light|sweet|festive|puffed
Schezwan Paneer,schezwanpaneer|spicy|indo|starter|sauté
Veg Banjara Pulao,banjarapulao|spicy|rice|onepot|rustic
Kartoffel Curry (Fusion),kartoffelcurry|fusion|comfort|curry|spiced
Cucumber Raita,cucumberraita|cooling|side|yogurt|refreshing
Zunka Bhakar,zunkabhakar|maharashtra|peanut|rustic|protein
Sabzi Khichdi,sabzikichdi|veg|onepot|comfort|simple
Methi Rice,methirice|methi|rice|flavorful|seasonal
Sweet Pongal,sweetpongal|dessert|south|festive|rice
Pesarattu Upma,pesarattuupma|protein|breakfast|south|fusion
Kashmiri Pulao,kashmiripulao|fruity|rice|mild|festive
Mawa Malpua,mawamalpua|sweet|fried|festive|dessert
Mango Shrikhand,mangoshri khand|sweet|mango|dessert|cooling
Sattu Paratha,sattuparatha|protein|north|flatbread|hearty
Aloo Methi,alo methi|homey|dry|sabzi|simple
Kala Chana Sundal,kalachana|sundal|protein|south|snack
Dahi Vada,dahivada|dahi|soft|chaat|tangy
Baingan Bharta,baingan|smoky|roasted|north|curry
Motta Pulao,mottapulao|peanut|rice|rich|festive
Methi Muthia,methimuthia|gujarati|snack|steamed|healthy
Schezwan Idli,schezwanidli|fusion|spicy|breakfast|trending
Aloo Matar,alo matar|simple|curry|north|home
Paneer Jalebi,paneerjalebi|dessert|fusion|sweet|festive
Spinach Corn Cutlet,spinachcorn|cutlet|crispy|snack|healthy
Veg Fried Wonton,vegwonton|crispy|starter|fusion|street
Coconut Ladoo,coconutladoo|sweet|festival|south|bite
Methi Pakora,methipakora|fritters|snack|monsoon|spicy
